layer,geoid,topic,stratification,period,value
Zip code,53014,FVDEHAAP,,2024-2025,100
Zip code,53014,FVDEHAAP,ECO1,2024-2025,29
Zip code,53014,FVDEHAAP,EL1,2024-2025,5
Zip code,53014,FVDEHAAP,ENG3,2024-2025,95
Zip code,53014,FVDEHAAP,FEM3,2024-2025,47
Zip code,53014,FVDEHAAP,MAL15,2024-2025,53
Zip code,53014,FVDEHAAP,NOT3,2024-2025,71
Zip code,53014,FVDEHAAP,SWD1,2024-2025,8
Zip code,53014,FVDEHAAP,SWO1,2024-2025,92
Zip code,53014,FVDEHAAP,UNK5,2024-2025,8
Zip code,53014,FVDEHAAP,W,2024-2025,92
Zip code,53061,FVDEHAAP,,2024-2025,100
Zip code,53061,FVDEHAAP,ECO1,2024-2025,22
Zip code,53061,FVDEHAAP,ENG3,2024-2025,100
Zip code,53061,FVDEHAAP,FEM3,2024-2025,56
Zip code,53061,FVDEHAAP,MAL15,2024-2025,44
Zip code,53061,FVDEHAAP,NOT3,2024-2025,78
Zip code,53061,FVDEHAAP,SWD1,2024-2025,3
Zip code,53061,FVDEHAAP,SWO1,2024-2025,97
Zip code,53088,FVDEHAAP,,2024-2025,100
Zip code,53088,FVDEHAAP,ENG3,2024-2025,100
Zip code,53088,FVDEHAAP,FEM3,2024-2025,100
Zip code,53088,FVDEHAAP,SWO1,2024-2025,100
Zip code,53088,FVDEHAAP,W,2024-2025,100
Zip code,54106,FVDEHAAP,,2024-2025,100
Zip code,54106,FVDEHAAP,ECO1,2024-2025,45
Zip code,54106,FVDEHAAP,FEM3,2024-2025,45
Zip code,54106,FVDEHAAP,MAL15,2024-2025,55
Zip code,54106,FVDEHAAP,NOT3,2024-2025,55
Zip code,54106,FVDEHAAP,SWD1,2024-2025,9
Zip code,54106,FVDEHAAP,SWO1,2024-2025,91
Zip code,54110,FVDEHAAP,,2024-2025,100
Zip code,54110,FVDEHAAP,ECO1,2024-2025,19
Zip code,54110,FVDEHAAP,FEM3,2024-2025,40
Zip code,54110,FVDEHAAP,MAL15,2024-2025,60
Zip code,54110,FVDEHAAP,NOT3,2024-2025,81
Zip code,54110,FVDEHAAP,SWD1,2024-2025,7
Zip code,54110,FVDEHAAP,SWO1,2024-2025,93
Zip code,54110,FVDEHAAP,UNK5,2024-2025,12
Zip code,54110,FVDEHAAP,W,2024-2025,88
Zip code,54113,FVDEHAAP,,2024-2025,100
Zip code,54113,FVDEHAAP,ECO1,2024-2025,22
Zip code,54113,FVDEHAAP,FEM3,2024-2025,58
Zip code,54113,FVDEHAAP,MAL15,2024-2025,42
Zip code,54113,FVDEHAAP,NOT3,2024-2025,78
Zip code,54113,FVDEHAAP,SWD1,2024-2025,9
Zip code,54113,FVDEHAAP,SWO1,2024-2025,91
Zip code,54113,FVDEHAAP,UNK5,2024-2025,16
Zip code,54113,FVDEHAAP,W,2024-2025,84
Zip code,54129,FVDEHAAP,,2024-2025,100
Zip code,54129,FVDEHAAP,ECO1,2024-2025,29
Zip code,54129,FVDEHAAP,FEM3,2024-2025,71
Zip code,54129,FVDEHAAP,MAL15,2024-2025,29
Zip code,54129,FVDEHAAP,NOT3,2024-2025,71
Zip code,54129,FVDEHAAP,SWD1,2024-2025,12
Zip code,54129,FVDEHAAP,SWO1,2024-2025,88
Zip code,54130,FVDEHAAP,,2024-2025,100
Zip code,54130,FVDEHAAP,ECO1,2024-2025,22
Zip code,54130,FVDEHAAP,EL1,2024-2025,1
Zip code,54130,FVDEHAAP,ENG3,2024-2025,57
Zip code,54130,FVDEHAAP,FEM3,2024-2025,47
Zip code,54130,FVDEHAAP,H,2024-2025,3
Zip code,54130,FVDEHAAP,MAL15,2024-2025,53
Zip code,54130,FVDEHAAP,NOT3,2024-2025,78
Zip code,54130,FVDEHAAP,SWD1,2024-2025,13
Zip code,54130,FVDEHAAP,SWO1,2024-2025,87
Zip code,54130,FVDEHAAP,UNK5,2024-2025,2
Zip code,54130,FVDEHAAP,W,2024-2025,53
Zip code,54136,FVDEHAAP,,2024-2025,100
Zip code,54136,FVDEHAAP,ECO1,2024-2025,33
Zip code,54136,FVDEHAAP,FEM3,2024-2025,63
Zip code,54136,FVDEHAAP,H,2024-2025,8
Zip code,54136,FVDEHAAP,MAL15,2024-2025,37
Zip code,54136,FVDEHAAP,NOT3,2024-2025,67
Zip code,54136,FVDEHAAP,SWD1,2024-2025,14
Zip code,54136,FVDEHAAP,SWO1,2024-2025,86
Zip code,54136,FVDEHAAP,UNK5,2024-2025,8
Zip code,54136,FVDEHAAP,W,2024-2025,84
Zip code,54140,FVDEHAAP,,2024-2025,100
Zip code,54140,FVDEHAAP,ECO1,2024-2025,26
Zip code,54140,FVDEHAAP,ENG3,2024-2025,100
Zip code,54140,FVDEHAAP,FEM3,2024-2025,40
Zip code,54140,FVDEHAAP,H,2024-2025,2
Zip code,54140,FVDEHAAP,MAL15,2024-2025,55
