layer,geoid,topic,stratification,period,value
Region,fox-valley,FVDEHAAP,,2024-2025,100
Region,fox-valley,FVDEHAAP,A,2024-2025,2
Region,fox-valley,FVDEHAAP,ECO1,2024-2025,25
Region,fox-valley,FVDEHAAP,EL1,2024-2025,2
Region,fox-valley,FVDEHAAP,ENG3,2024-2025,66
Region,fox-valley,FVDEHAAP,FEM3,2024-2025,52
Region,fox-valley,FVDEHAAP,H,2024-2025,4
Region,fox-valley,FVDEHAAP,MAL15,2024-2025,45
Region,fox-valley,FVDEHAAP,NOT3,2024-2025,70
Region,fox-valley,FVDEHAAP,Q,2024-2025,3
Region,fox-valley,FVDEHAAP,SWD1,2024-2025,9
Region,fox-valley,FVDEHAAP,SWO1,2024-2025,86
Region,fox-valley,FVDEHAAP,UNK3,2024-2025,5
Region,fox-valley,FVDEHAAP,UNK4,2024-2025,32
Region,fox-valley,FVDEHAAP,UNK5,2024-2025,14
Region,fox-valley,FVDEHAAP,UNK6,2024-2025,5
Region,fox-valley,FVDEHAAP,UNK7,2024-2025,3
Region,fox-valley,FVDEHAAP,W,2024-2025,76
